job_description,resume,label
java backend spring boot api development,deep learning cnn pytorch model training,0
deep learning pytorch tensorflow cnn,deep learning cnn pytorch model training,1
python machine learning nlp data analysis,java spring boot backend api development,0
python machine learning nlp data analysis,python pandas numpy machine learning project,1
frontend html css javascript react,python pandas numpy machine learning project,0
data science pandas numpy visualization,excel data analysis communication skills,1
data science pandas numpy visualization,java spring boot backend api development,0
python machine learning nlp data analysis,python pandas numpy machine learning project,1
python machine learning nlp data analysis,excel data analysis communication skills,1
frontend html css javascript react,java spring boot backend api development,0
data science pandas numpy visualization,excel data analysis communication skills,1
data science pandas numpy visualization,python pandas numpy machine learning project,1
java backend spring boot api development,html css javascript frontend developer,1
java backend spring boot api development,excel data analysis communication skills,0
python machine learning nlp data analysis,java spring boot backend api development,0
python machine learning nlp data analysis,java spring boot backend api development,0
deep learning pytorch tensorflow cnn,excel data analysis communication skills,0
frontend html css javascript react,deep learning cnn pytorch model training,0
frontend html css javascript react,python pandas numpy machine learning project,0
java backend spring boot api development,excel data analysis communication skills,0
java backend spring boot api development,deep learning cnn pytorch model training,0
java backend spring boot api development,java spring boot backend api development,1
java backend spring boot api development,python pandas numpy machine learning project,0
python machine learning nlp data analysis,excel data analysis communication skills,1
frontend html css javascript react,java spring boot backend api development,0
frontend html css javascript react,python pandas numpy machine learning project,0
java backend spring boot api development,excel data analysis communication skills,0
deep learning pytorch tensorflow cnn,deep learning cnn pytorch model training,1
java backend spring boot api development,deep learning cnn pytorch model training,0
deep learning pytorch tensorflow cnn,html css javascript frontend developer,0
frontend html css javascript react,deep learning cnn pytorch model training,0
frontend html css javascript react,html css javascript frontend developer,1
python machine learning nlp data analysis,html css javascript frontend developer,0
frontend html css javascript react,deep learning cnn pytorch model training,0
frontend html css javascript react,python pandas numpy machine learning project,0
data science pandas numpy visualization,excel data analysis communication skills,1
java backend spring boot api development,html css javascript frontend developer,1
data science pandas numpy visualization,excel data analysis communication skills,1
java backend spring boot api development,deep learning cnn pytorch model training,0
data science pandas numpy visualization,deep learning cnn pytorch model training,0
java backend spring boot api development,java spring boot backend api development,1
python machine learning nlp data analysis,java spring boot backend api development,0
deep learning pytorch tensorflow cnn,html css javascript frontend developer,0
deep learning pytorch tensorflow cnn,html css javascript frontend developer,0
python machine learning nlp data analysis,deep learning cnn pytorch model training,1
deep learning pytorch tensorflow cnn,deep learning cnn pytorch model training,1
java backend spring boot api development,deep learning cnn pytorch model training,0
java backend spring boot api development,deep learning cnn pytorch model training,0
data science pandas numpy visualization,deep learning cnn pytorch model training,0
deep learning pytorch tensorflow cnn,excel data analysis communication skills,0
